1779	0	The NGO International Rivers reports that "conversations with civil society groups in Ethiopia indicate that questioning the government's energy sector plans is highly risky, and there are legitimate concerns of government persecution.	The energy industry should be nationalized
115	0	A passage Locke later added to the Essay concerning Human Understanding, questioned whether atheism was necessarily inimical to political obedience.	Atheism is the only way
940	1	Research at HMO shows that transplantation of human embryonic stem cells into the brains of mice with multiple sclerosis (MS) significantly slows the clinical symptoms and pathological manifestations of the disease.	Embryonic stem cell research brings more good than harm
744	0	Baptism of infants is done by triple immersion of the head.	We should abolish infant baptism
1556	0	Population regulation is a density-dependent process, meaning that population growth rates are regulated by the density of a population.	Wildlife management brings more good than harm
2332	0	When concluded the ISO standard will have the number ISO/NP 14034 [REF].	ISO brings more harm than good
1755	0	Neither Finnish construction nor energy companies have at least until end 2010 actively promoted higher energy efficiency standards and alternative energy source obligations.	The energy industry should be nationalized
1582	0	Wildlife management in the airport environment can be grouped into two broad categories: non-lethal and lethal.	Wildlife management brings more good than harm
672	0	Temporary workers must be treated like permanent employees.	We should abolish temporary employment
2305	0	As previously stated, according to ISO standards calibration should happen every 5000 operations or every year, whichever comes first [REF].	ISO brings more harm than good
2071	1	Another disadvantage of hydroelectric dams is the need to relocate the people living where the reservoirs are planned.	We should further exploit hydroelectric dams
2494	0	The Yugoslav government insisted that NATO had targeted civilians [REF].	We should disband NATO
309	0	The Times also believed that the Unionist case for Tariff Reform would win over voters at the next general election [REF].	We should fight protectionism
591	0	A match was found for the male DNA and it was discovered that that particular DNA sample was never run prior to the first trial despite assurances from the prosecutor that the sample had been analyzed and returned no matches.	We should limit genetic testing
462	0	Like in most of India, the Indian caste system was conspicuously present.	We should abolish the caste system in India
1461	0	The required length of storage of an individual electronic health record will depend on national and state regulations, which are subject to change over time.	EHRs bring more harm than good
1286	0	Eligibility to participate in extracurriculars is set by school board policies and is communicated in the student handbook and district policy manual [REF].	Extra-curricular activity is beneficial
1213	1	A 2011 study from the Centre for Family Research at the University of Cambridge found that surrogacy does not have a negative impact on the surrogate's own children [REF].	Surrogacy should be banned
1721	1	He was later forced to backpedal and claimed that polygamy should be against the law [REF].	We should legalize polygamy
552	0	In January 2009, Vienna's public prosecutor stated that DNA tests and questioning of witnesses had led to theories being discounted that Přiklopil had an accomplice.	We should limit genetic testing
87	0	DRM-protection has to be removed prior to release and only the 0day ZIP/DIZ packaging can be used.	Digital rights management brings more harm than good
690	0	Temporary employees are sometimes called "contractual", "seasonal", "interim", "casual staff", "outsourcing", "freelance"; or the word may be shortened to "temps".	We should abolish temporary employment
1689	0	Term limits need not be consistent as the ballot title suggests.	We should abolish term limits
2411	0	The analogy to conscientious objection is flawed, these critics say: A conscientious objector to military service does not take up arms and kill.	Conscientious objectors are justified
1613	0	gain A key notion in insider trading is that of benefit to the tipper.	We should legalize insider trading
1159	0	A spokesman for General Dynamics Corporation told scientists in Denver that a manned space mission to the planet Mars could be launched in 1975.	Manned spaceflights bring more good than harm
2456	0	They further said that NATO should lead the operation and that it would be inappropriate once that was the case for member nations to adopt separate stances [REF].	We should disband NATO
1950	1	He also believed that banning abortion would be harmful to both population numbers and societal problems [REF].	We should ban abortions
1058	0	In 2014 Hunt proposed that private schools should be required to form "partnerships" with local state schools if they wanted to keep their charitable status [REF].	Private education brings more good than harm
543	0	Generally, records indicate that whatever scant water supplies existed were shared fairly among individuals hiding as a group [REF].	We should privatize water supply
2204	0	This does not mean, however, that Twitter ignores the issue regarding real identities.	Twitter brings more harm than good
2215	0	The order additionally directed that Twitter should not disclose the existence of the subpoena without prior authorization.	Twitter brings more harm than good
494	0	Similarly, India's Hindu caste system led to differences in how member of different castes addressed each other, with people from lower castes referring to themselves in a derogatory manner [REF].	We should abolish the caste system in India
365	0	The recall election was held on June 5, 2012 [REF].	Recall elections are beneficial
2257	1	It is therefore important that homework assignments are geared to the realities of students' developing skills to avoid undue frustration and disengagement."[REF] .	Homework does more harm than good
1632	0	Allegations of insider dealing and corruption has been made because of this [REF].	We should legalize insider trading
273	1	However, the district court was not obligated to consider the merits of any antitrust counterclaims once it decided that eBay had a likelihood of success on the merits [REF].	eBay brings more good than harm
71	0	DRM-free digital distribution is the default distribution model of the game, and its episodes can only be purchased as parts of a complete season pass, not separately from one another [REF].	Digital rights management brings more harm than good
2190	0	A 2006 retrospective report study in New Zealand showed that physical punishment of children was quite common in the 1970s and 80s, with 80% of the sample reporting some kind of corporal punishment from parents at some time during childhood.	We should prohibit corporal punishment
1809	0	Until that decision, the EPA deemed that hydraulic fracturing did not fall under the rules in the Safe Drinking Water Act [REF].	We should prohibit hydraulic fracturing
63	0	The DRM protection was met with a negative response as it had not been disclosed previous to the game's release [REF].	Digital rights management brings more harm than good
2444	0	The Illinois Constitution, he said, would discriminate against entire religions, and could lead to the inescapable conclusion that the state could bar a conscientious objector from a wide range of constitutional protections merely by refusing to grant these protections to nonresistors.	Conscientious objectors are justified
2325	0	He also questions whether an ISO standard for language identification is appropriate since ISO is an industrial organization, while he views language documentation and nomenclature as a scientific endeavor.	ISO brings more harm than good
343	0	Though a setback, these protectionist measures were not as devastating to the Dutch trade system as the English had intended.	We should fight protectionism
2078	1	By way of contrast, hydroelectricity can supply peak power at much lower cost.	We should further exploit hydroelectric dams
1378	1	In 1972, the United States Supreme Court ruled in Furman v. Georgia that the death penalty was unconstitutional if application was inconsistent and arbitrary.	Capital punishment brings more harm than good
500	0	Water saving was an important factor, as they knew that water supply would be problematic.	We should privatize water supply
1670	0	Such term limits were adopted in 1992 by ballot initiative but were ruled to be unconstitutional by the United States Supreme Court.	We should abolish term limits
677	0	In a November 1994 special election, early favorite Gregory-Scocchi was defeated by Barbara Buono, after unfounded allegations that a temporary employment firm owned by Gregory-Scocchi had hired illegal immigrants.	We should abolish temporary employment
1025	0	"Instead, the two parties should be almost identical, so the American people can 'throw the rascals out' at any election without leading to any profound or extreme shifts in policy." .	We should abolish the two-party system
2260	0	The claim of a dog eating one's homework is inherently suspect since it is both impossible for a teacher to disprove and conveniently absolves the student who gives that excuse of any blame.	Homework does more harm than good
1599	1	However, some economists have argued that insider trading should be allowed and could, in fact, benefit markets.	We should legalize insider trading
272	0	The Second Circuit held that eBay did not have the requisite level of knowledge to satisfy the Inwood standard [REF].	eBay brings more good than harm
